22,17;0;180
23,18;0;0
24,18;0;180
30,12;1;300
19,17;0;0
22,16;0;120
32,18;1;0
38,17;1;60
19,15;0;60
29,13;1;300
25,14;0;0
15,17;1;180
31,18;0;0
34,13;0;300
35,15;0;0
22,12;0;240
23,12;0;240
39,18;1;120
37,13;1;0
22,9;0;240
37,15;0;60
18,7;0;60
27,19;0;0
22,6;0;0
24,5;0;300
15,14;1;240
19,11;0;120
25,8;0;240
24,9;0;120
42,17;0;0
40,16;0;240
44,13;1;0
19,8;0;0
16,16;0;0
18,5;1;120
33,19;0;60
25,10;0;0
28,12;0;60
29,2;1;240
41,18;1;0
32,8;1;0
15,12;1;60
8,7;0;180
44,17;0;180
8,6;0;120
11,9;1;300
28,4;0;0
44,9;1;120
5,11;0;240
11,5;1;300
15,2;0;60
11,10;0;0
33,8;0;120
20,1;1;180
9,1;1;60
15,5;0;0
10,19;0;60
13,10;0;0
5,7;0;120
44,19;0;120
13,12;0;120
12,2;0;300
8,15;1;120
8,0;0;240
11,14;1;60
7,14;0;60
2,3;0;0
11,0;0;0
9,15;0;0
25,1;0;120
31,5;1;0
9,19;1;120
30,2;0;300
4,4;0;240
36,10;1;120
32,9;1;240
44,4;1;240
6,19;0;180
38,16;0;60
41,7;1;60
2,19;0;60
33,5;0;0
40,9;0;60
41,5;0;120
3,13;0;120
4,14;0;120
2,7;0;60
42,3;0;300
42,5;0;240
0,14;0;0
34,1;0;120
12,12;0;0
36,4;0;180
0,12;0;0
36,1;0;300
1,2;0;60
P
P
38,1;1;300
1,10;0;60
44,0;1;180
P
39,12;0;120
P
1,12;0;180
P
41,0;1;60
P
1,0;0;60
P
0,5;0;60
P
P
P
P
